#Date/Time of Update: 2016-10-04 2:55:50 PM,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#Wins,#Losses,#WinPct,#GB
,101,GSW,Golden State,Warriors,1,82,4567,55.7,2412,29.4,52.8,2592,31.6,1077,13.1,41.6,7159,87.3,3489,42.5,48.7,1790,21.8,1366,16.7,76.3,1247,15.2,3159,38.5,4407,53.7,2373,28.9,9421,114.9,1219,14.9,689,8.4,498,6.1,336,4.1,8539,104.1,1764,21.5,1696,20.7,68,0.8,882,10.8,73,9,0.890,0.0
,106,SAS,San Antonio,Spurs,2,82,5279,64.4,2719,33.2,51.5,1518,18.5,570,7.0,37.6,6797,82.9,3289,40.1,48.4,1672,20.4,1342,16.4,80.3,1138,13.9,2980,36.3,4119,50.2,2010,24.5,8490,103.5,1028,12.5,677,8.3,485,5.9,317,3.9,7618,92.9,1474,18.0,1433,17.5,41,0.5,872,10.6,67,15,0.817,0.0
,96,OKL,Oklahoma City,Thunder,3,82,5137,62.6,2694,32.9,52.4,1945,23.7,678,8.3,34.9,7082,86.4,3372,41.1,47.6,2067,25.2,1616,19.7,78.2,1585,19.3,3086,37.6,4672,57.0,1883,23.0,9038,110.2,1269,15.5,603,7.4,487,5.9,373,4.5,8441,102.9,1739,21.2,1687,20.6,52,0.6,597,7.3,55,27,0.671,0.0
,86,CLE,Cleveland,Cavaliers,4,82,4460,54.4,2291,27.9,51.4,2428,29.6,880,10.7,36.2,6888,84.0,3171,38.7,46.0,1783,21.7,1333,16.3,74.8,1384,16.9,2942,35.9,4326,52.8,1861,22.7,8555,104.3,1056,12.9,551,6.7,317,3.9,362,4.4,8063,98.3,1696,20.7,1658,20.2,38,0.5,492,6.0,57,25,0.695,0.0
,81,TOR,Toronto,Raptors,5,82,4754,58.0,2298,28.0,48.3,1915,23.4,708,8.6,37.0,6669,81.3,3006,36.7,45.1,2190,26.7,1702,20.8,77.7,1422,17.3,2918,35.6,4340,52.9,1536,18.7,8422,102.7,993,12.1,636,7.8,449,5.5,442,5.4,8053,98.2,1683,20.5,1607,19.6,76,0.9,369,4.5,56,26,0.683,0.0
,102,LAC,Los Angeles,Clippers,6,82,4569,55.7,2344,28.6,51.3,2190,26.7,797,9.7,36.4,6759,82.4,3141,38.3,46.5,2152,26.2,1490,18.2,69.2,1261,15.4,2909,35.5,4171,50.9,1873,22.8,8569,104.5,1016,12.4,709,8.6,460,5.6,259,3.2,8218,100.2,1828,22.3,1743,21.3,85,1.0,351,4.3,53,29,0.646,0.0
,91,ATL,Atlanta,Hawks,7,82,4597,56.1,2353,28.7,51.2,2326,28.4,815,9.9,35.0,6923,84.4,3168,38.6,45.8,1638,20.0,1282,15.6,78.3,1085,13.2,2950,36.0,4035,49.2,2100,25.6,8433,102.8,1191,14.5,747,9.1,486,5.9,411,5.0,8137,99.2,1608,19.6,1569,19.1,39,0.5,296,3.6,48,34,0.585,0.0
,82,BOS,Boston,Celtics,8,82,5176,63.1,2499,30.5,48.3,2142,26.1,717,8.7,33.5,7318,89.2,3216,39.2,44.0,1929,23.5,1520,18.5,78.8,1452,17.7,2940,35.9,4392,53.6,1981,24.2,8669,105.7,1103,13.5,752,9.2,348,4.2,450,5.5,8406,102.5,1864,22.7,1793,21.9,71,0.9,263,3.2,48,34,0.585,0.0
,93,CHA,Charlotte,Hornets,9,82,4512,55.0,2163,26.4,47.9,2410,29.4,873,10.6,36.2,6922,84.4,3036,37.0,43.9,1941,23.7,1534,18.7,79.0,1199,14.6,3079,37.5,4278,52.2,1778,21.7,8479,103.4,973,11.9,595,7.3,438,5.3,448,5.5,8256,100.7,1528,18.6,1483,18.1,45,0.5,223,2.7,48,34,0.585,0.0
,98,UTA,Utah,Jazz,10,82,4637,56.5,2263,27.6,48.8,1956,23.9,694,8.5,35.5,6593,80.4,2957,36.1,44.8,1885,23.0,1402,17.1,74.4,1417,17.3,2829,34.5,4246,51.8,1554,19.0,8010,97.7,1162,14.2,631,7.7,425,5.2,385,4.7,7863,95.9,1704,20.8,1654,20.2,50,0.6,147,1.8,40,42,0.488,0.0
,87,IND,Indiana,Pacers,11,82,5096,62.1,2479,30.2,48.6,1889,23.0,663,8.1,35.1,6985,85.2,3142,38.3,45.0,1872,22.8,1430,17.4,76.4,1323,16.1,2947,35.9,4270,52.1,1741,21.2,8377,102.2,1175,14.3,742,9.0,391,4.8,366,4.5,8237,100.5,1670,20.4,1640,20.0,30,0.4,140,1.7,45,37,0.549,0.0
,92,MIA,Miami,Heat,12,82,5217,63.6,2652,32.3,50.8,1480,18.0,498,6.1,33.6,6697,81.7,3150,38.4,47.0,1889,23.0,1406,17.1,74.4,1294,15.8,2964,36.1,4258,51.9,1709,20.8,8204,100.0,1085,13.2,553,6.7,531,6.5,337,4.1,8069,98.4,1562,19.0,1499,18.3,63,0.8,135,1.6,48,34,0.585,0.0
,97,POR,Portland,Trail Blazers,13,82,4704,57.4,2303,28.1,49.0,2336,28.5,864,10.5,37.0,7040,85.9,3167,38.6,45.0,1889,23.0,1424,17.4,75.4,1431,17.5,2974,36.3,4406,53.7,1748,21.3,8622,105.1,1154,14.1,562,6.9,380,4.6,424,5.2,8554,104.3,1816,22.1,1790,21.8,26,0.3,68,0.8,44,38,0.537,0.0
