#Date/Time of Update: 2016-12-18 2:00:15 AM,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GB
,101,GSW,Golden State,Warriors,1,28,1567,56.0,882,31.5,56.3,882,31.5,336,12.0,38.1,2449,87.5,1218,43.5,49.7,676,24.1,529,18.9,78.2,423,15.1,1067,38.1,1490,53.2,883,31.5,3301,117.9,410,14.6,259,9.2,185,6.6,102,3.6,2939,105.0,585,20.9,559,20.0,18,0.6,362,12.9,578,20.6,578,20.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,24,4,0.857,0.0
,106,SAS,San Antonio,Spurs,2,26,1539,59.2,763,29.3,49.6,581,22.3,230,8.8,39.6,2120,81.5,993,38.2,46.8,584,22.5,481,18.5,82.4,362,13.9,924,35.5,1286,49.5,612,23.5,2697,103.7,328,12.6,211,8.1,143,5.5,102,3.9,2537,97.6,477,18.3,470,18.1,3,0.1,160,6.2,488,18.8,488,18.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,21,5,0.808,0.0
,86,CLE,Cleveland,Cavaliers,3,25,1275,51.0,644,25.8,50.5,833,33.3,334,13.4,40.1,2108,84.3,978,39.1,46.4,621,24.8,469,18.8,75.5,430,17.2,915,36.6,1345,53.8,561,22.4,2759,110.4,332,13.3,177,7.1,111,4.4,114,4.6,2566,102.6,455,18.2,446,17.8,5,0.2,193,7.7,549,22.0,549,22.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,19,6,0.760,0.0
,109,HOU,Houston,Rockets,4,28,1341,47.9,720,25.7,53.7,1090,38.9,417,14.9,38.3,2431,86.8,1137,40.6,46.8,640,22.9,475,17.0,74.2,497,17.8,1004,35.9,1501,53.6,713,25.5,3166,113.1,431,15.4,227,8.1,128,4.6,140,5.0,2962,105.8,571,20.4,558,19.9,7,0.2,204,7.3,540,19.3,540,19.3,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,21,7,0.750,0.0
,102,LAC,Los Angeles,Clippers,5,28,1610,57.5,817,29.2,50.8,743,26.5,282,10.1,38.0,2353,84.0,1099,39.2,46.7,775,27.7,589,21.0,76.0,462,16.5,1022,36.5,1484,53.0,631,22.5,3069,109.6,343,12.2,235,8.4,130,4.6,90,3.2,2844,101.6,611,21.8,584,20.9,20,0.7,225,8.0,668,23.9,668,23.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,20,8,0.714,0.0
,81,TOR,Toronto,Raptors,6,26,1572,60.5,802,30.8,51.0,632,24.3,254,9.8,40.2,2204,84.8,1056,40.6,47.9,679,26.1,553,21.3,81.4,418,16.1,864,33.2,1283,49.3,531,20.4,2919,112.3,290,11.2,228,8.8,114,4.4,110,4.2,2701,103.9,582,22.4,559,21.5,12,0.5,218,8.4,544,20.9,544,20.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,18,8,0.692,0.0
,107,MEM,Memphis,Grizzlies,7,28,1648,58.9,753,26.9,45.7,697,24.9,229,8.2,32.9,2345,83.8,982,35.1,41.9,678,24.2,529,18.9,78.0,497,17.8,1003,35.8,1500,53.6,559,20.0,2722,97.2,377,13.5,240,8.6,150,5.4,159,5.7,2723,97.2,701,25.0,678,24.2,13,0.5,-1,0.0,602,21.5,602,21.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,18,10,0.643,0.0
,98,UTA,Utah,Jazz,8,27,1384,51.3,726,26.9,52.5,714,26.4,263,9.7,36.8,2098,77.7,989,36.6,47.1,618,22.9,483,17.9,78.2,363,13.4,979,36.3,1342,49.7,521,19.3,2724,100.9,340,12.6,168,6.2,143,5.3,101,3.7,2576,95.4,548,20.3,533,19.7,4,0.1,148,5.5,543,20.1,543,20.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17,10,0.630,0.0
,96,OKL,Oklahoma City,Thunder,9,27,1675,62.0,847,31.4,50.6,684,25.3,226,8.4,33.0,2359,87.4,1073,39.7,45.5,678,25.1,487,18.0,71.8,522,19.3,998,37.0,1520,56.3,593,22.0,2859,105.9,407,15.1,214,7.9,138,5.1,146,5.4,2828,104.7,567,21.0,547,20.3,18,0.7,31,1.1,554,20.5,554,20.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,16,11,0.593,0.0
,82,BOS,Boston,Celtics,10,26,1426,54.8,712,27.4,49.9,807,31.0,287,11.0,35.6,2233,85.9,999,38.4,44.7,534,20.5,419,16.1,78.5,386,14.8,904,34.8,1290,49.6,647,24.9,2704,104.0,306,11.8,191,7.3,122,4.7,140,5.4,2667,102.6,554,21.3,530,20.4,12,0.5,37,1.4,498,19.2,498,19.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14,12,0.538,0.0
